dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,10.1,9.0,5.9,11.0,10.6,9.1,6.0,,9.4,8.7,6.3,3.4 
2,18.3,8.1,5.2,9.3,11.6,7.7,3.6,,12.5,7.9,7.6,3.1 
3,44.3,8.8,6.6,10.7,8.1,11.4,15.8,14.1,15.3,4.0,7.5,3.9 
4,30.0,8.4,6.4,8.5,6.9,13.5,9.5,13.6,13.5,5.4,9.6,7.0 
5,5.9,9.9,4.4,6.5,6.7,8.7,6.1,6.4,10.6,6.8,7.1,5.1 
6,5.8,6.0,6.1,3.3,2.7,8.1,5.6,6.1,9.6,5.6,6.0,3.5 
7,10.3,17.5,5.7,10.4,6.0,10.7,8.1,9.1,12.2,4.0,7.3,6.7 
8,6.6,16.1,4.7,10.0,5.0,7.2,6.8,8.1,10.2,6.1,29.7,13.4 
9,7.8,10.8,7.6,7.4,5.8,4.7,5.8,8.0,8.6,6.9,39.2,27.2 
10,7.4,10.0,6.5,7.0,,8.7,8.9,6.9,12.0,8.0,84.9,16.0 
11,10.2,6.3,9.3,5.2,13.1,5.7,4.8,8.4,14.3,7.6,68.1,4.5 
12,6.8,3.8,6.3,7.9,,10.3,4.2,12.2,6.4,6.2,71.6,6.5 
13,18.4,3.6,5.1,8.9,,12.5,4.7,8.5,6.4,9.5,79.2,12.6 
14,31.0,10.0,4.5,13.1,1.4,10.4,1.7,8.9,4.1,9.0,85.2,13.3 
15,31.0,5.7,5.0,8.7,2.1,12.8,5.7,19.2,5.3,4.6,113.1,7.9 
16,19.0,6.2,4.2,5.0,2.6,10.8,4.2,19.3,4.0,6.2,167.7,3.8 
17,22.6,8.8,6.0,4.0,4.0,10.5,3.3,14.8,4.9,12.8,120.0,4.7 
18,14.9,6.2,1.6,4.8,4.8,7.0,3.9,9.4,9.5,13.7,73.9,4.8 
19,7.5,5.1,,8.5,7.7,5.1,4.1,16.1,12.0,13.9,91.5,5.1 
20,8.3,4.4,7.0,11.3,8.9,5.2,8.0,18.7,14.4,15.2,50.5,15.8 
21,7.1,5.4,3.5,10.3,10.0,5.9,6.6,12.1,,13.8,10.9,9.4 
22,8.7,6.4,6.4,12.6,8.5,13.0,10.2,24.6,,10.6,0.7,4.8 
23,8.6,5.5,4.8,15.2,3.7,11.5,8.5,34.4,,7.5,1.0,6.5 
24,9.2,7.8,5.1,11.4,3.9,3.1,12.0,17.8,,5.5,2.5,8.0 
25,7.2,6.3,4.3,11.3,3.8,5.8,10.4,13.7,12.1,7.4,4.0,3.1 
26,8.3,4.7,4.7,12.0,7.4,10.7,8.1,12.8,10.2,8.3,5.1,3.7 
27,7.5,4.3,7.1,9.0,8.9,10.8,5.8,11.8,4.9,5.9,6.9,1.3 
28,6.3,6.7,8.3,5.9,13.5,12.8,4.3,6.5,9.2,5.7,4.3,1.8 
29,15.5,,7.4,4.9,20.7,12.8,4.0,12.0,7.7,8.0,5.7,5.3 
30,10.0,,8.8,8.0,13.4,10.8,5.5,12.7,6.5,6.8,6.3,6.9 
31,7.7,,8.9,,9.3,,8.0,8.2,,6.2,,1.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:59:39
  
