dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,12.8,13.3,9.4,,9.9,,12.3,12.9,30.9,10.2,15.5,19.8 
2,11.6,7.5,9.7,,9.4,,10.0,14.1,39.7,9.1,14.8,22.0 
3,9.4,7.5,10.6,,11.1,,8.8,14.4,37.7,11.0,13.8,11.4 
4,8.5,11.3,9.3,,14.3,,12.7,11.0,37.8,9.8,10.7,12.4 
5,14.0,10.9,5.8,14.1,11.9,,,12.9,15.1,10.0,9.3,15.7 
6,15.3,8.3,7.5,10.5,13.9,,,10.3,14.4,11.8,9.9,18.2 
7,9.9,7.5,,10.6,14.3,,,15.0,14.6,13.3,10.3,15.6 
8,9.2,9.3,,9.2,16.9,,,14.4,16.4,13.4,8.9,16.0 
9,11.0,8.9,,10.3,16.4,,,14.5,16.2,12.0,7.8,19.7 
10,11.0,8.7,,9.5,18.4,,,16.7,14.9,13.6,9.8,12.9 
11,12.4,12.0,13.3,13.5,12.4,,,16.0,15.0,52.9,9.3,11.4 
12,13.0,12.4,11.1,12.5,12.6,,13.0,15.1,12.3,30.7,10.6,13.4 
13,14.5,14.3,10.1,7.6,11.1,,11.3,11.2,11.1,15.1,9.8,14.0 
14,15.1,13.2,11.9,7.8,10.6,,13.6,8.5,12.0,13.8,9.7,14.9 
15,17.1,13.5,14.1,9.9,12.9,,13.3,14.3,13.0,18.7,10.5,16.0 
16,16.4,11.0,10.7,12.3,12.0,,10.9,15.1,17.8,21.6,11.4,15.1 
17,17.8,7.2,13.4,12.4,10.9,,12.2,15.7,24.0,25.2,9.5,16.8 
18,11.8,8.7,12.3,8.9,11.0,,10.5,15.0,14.6,26.3,13.3,16.1 
19,8.0,10.4,15.0,12.8,11.3,,14.2,18.5,11.1,16.3,15.7,13.2 
20,5.7,8.6,12.8,11.5,13.1,,14.3,22.5,7.8,10.5,16.8,15.0 
21,7.0,10.9,11.6,9.2,12.6,,10.6,14.8,8.8,8.9,14.0,16.8 
22,8.0,9.7,8.7,9.5,14.5,,11.7,14.8,8.8,9.1,12.2,17.4 
23,,10.3,10.6,10.7,14.0,,9.9,16.6,8.0,9.8,12.6,17.2 
24,,9.3,11.6,9.3,12.5,,10.5,22.4,8.3,12.3,10.9,18.6 
25,,10.3,12.2,9.1,12.9,,10.1,15.5,8.5,11.0,20.6,22.0 
26,,10.0,10.9,9.9,14.5,,9.9,11.4,9.5,11.3,11.0,21.2 
27,,6.2,8.1,8.3,14.4,,11.0,11.1,9.8,12.5,9.3,16.5 
28,14.6,8.8,9.8,10.0,17.1,8.5,9.7,16.2,10.8,12.0,11.0,15.0 
29,15.5,,,7.9,16.8,10.9,9.1,16.2,10.6,14.3,16.3,16.4 
30,14.6,,,11.3,14.3,9.7,9.4,10.5,10.8,13.9,16.3,12.5 
31,13.0,,,,11.8,,8.0,16.8,,12.6,,12.3
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 17:55:58
  
