dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,8.1,10.0,15.5,10.4,11.3,18.4,13.4,16.3,16.3,10.2,17.3, 
2,6.3,8.3,6.9,10.9,14.1,15.1,14.5,20.0,13.0,11.2,21.9, 
3,13.8,5.4,5.4,7.0,16.4,20.9,15.1,14.1,11.0,13.7,25.6, 
4,19.7,4.3,10.3,8.6,16.2,22.7,18.4,12.7,15.9,13.8,30.4, 
5,27.5,6.1,12.6,7.4,10.5,17.4,53.3,12.4,17.6,18.0,34.0, 
6,13.1,7.9,6.4,11.0,5.6,18.1,17.0,14.5,11.6,18.8,31.3, 
7,10.1,8.8,4.4,12.2,8.2,18.7,14.9,14.2,12.1,16.9,31.6, 
8,7.5,13.6,4.4,16.6,16.3,16.5,14.4,15.9,10.4,14.1,22.0, 
9,16.7,13.8,5.6,12.7,10.4,14.1,15.0,14.2,11.8,14.1,13.4, 
10,25.9,7.7,8.1,6.3,6.8,14.0,15.9,13.4,11.1,21.6,20.5, 
11,22.9,7.5,7.8,9.8,12.0,15.4,15.7,9.9,13.3,5.0,28.6, 
12,11.8,11.0,6.1,9.8,11.2,16.5,18.5,11.7,15.7,14.3,32.4, 
13,11.3,10.8,10.4,9.6,13.3,18.5,20.7,14.8,14.2,18.1,36.5, 
14,9.3,8.2,6.5,10.9,19.7,15.4,17.7,15.2,13.9,16.7,39.8, 
15,7.4,8.1,4.8,10.1,13.3,17.6,16.8,14.7,12.9,17.0,30.7, 
16,9.8,6.1,7.7,11.0,6.5,19.1,15.5,13.2,11.1,16.7,25.9, 
17,5.7,7.0,7.6,10.5,9.5,12.9,13.6,11.5,9.2,16.5,4.4, 
18,12.6,8.7,10.6,14.5,10.1,17.6,12.0,10.6,10.8,12.9,, 
19,9.5,10.9,14.5,16.8,6.6,16.6,10.5,13.0,10.0,15.1,, 
20,12.0,12.8,9.5,11.4,6.4,15.5,11.5,12.9,12.4,10.2,, 
21,6.7,7.3,5.9,10.5,6.6,17.1,11.3,15.8,15.0,7.6,, 
22,7.2,13.0,13.7,10.4,8.3,9.9,17.0,14.7,11.7,10.0,, 
23,7.6,15.0,17.3,15.6,8.0,12.6,13.9,15.8,12.4,12.7,, 
24,7.1,18.7,10.1,15.3,9.4,16.1,13.4,11.7,11.1,5.7,, 
25,5.1,17.0,14.9,13.1,11.1,16.5,11.5,11.2,14.7,7.5,, 
26,6.0,17.7,19.4,13.7,6.9,18.7,16.0,9.0,14.8,13.7,, 
27,11.7,16.2,14.9,18.6,6.3,16.7,16.5,11.3,14.4,13.9,, 
28,27.4,13.2,8.3,14.7,11.2,14.5,14.9,14.1,6.5,11.3,, 
29,28.3,,12.3,6.1,12.9,13.2,15.3,14.1,8.5,13.0,, 
30,28.0,,10.8,6.6,15.7,12.0,17.4,13.6,10.5,21.9,, 
31,19.1,,9.4,,19.6,,18.0,14.6,,11.0,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 22:40:34
  
