dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.8,15.0,9.5,9.0,7.8,7.5,7.6,6.2,3.3,4.0,18.0, 
2,30.5,6.2,7.3,5.5,7.8,6.0,6.9,5.8,3.6,5.3,24.9, 
3,43.4,6.1,3.5,4.3,9.0,7.0,6.9,9.5,4.5,5.4,23.9, 
4,49.5,5.9,5.8,5.0,8.0,12.7,11.3,6.8,4.5,4.7,26.8, 
5,30.0,8.0,7.2,5.2,5.5,13.6,15.0,6.2,4.0,9.5,26.4, 
6,10.4,13.2,4.8,5.9,5.0,6.8,10.7,8.3,4.9,8.7,22.4, 
7,9.2,21.8,4.1,6.2,4.2,6.1,9.1,7.5,4.0,10.8,24.0, 
8,16.2,9.1,2.2,6.9,6.0,4.6,5.8,5.8,2.6,11.1,24.7, 
9,11.7,6.7,3.9,3.3,5.7,5.0,4.5,5.2,3.6,7.6,21.5, 
10,14.1,5.0,3.7,3.7,5.7,6.7,3.0,4.1,3.9,8.3,24.5, 
11,15.1,6.3,3.7,5.0,7.3,8.7,4.6,5.0,5.7,13.6,21.8, 
12,17.8,11.3,5.5,2.7,5.3,11.2,2.9,6.4,11.1,17.2,29.7, 
13,29.0,6.8,2.6,5.6,4.8,7.4,6.7,10.7,8.8,13.3,32.9, 
14,20.0,4.3,5.0,5.4,4.7,6.5,5.9,10.0,8.2,11.4,13.0, 
15,6.9,5.5,11.6,6.5,5.0,6.4,5.0,11.1,5.1,16.1,7.7, 
16,5.8,5.8,16.5,4.6,3.9,5.1,4.2,13.1,3.8,13.4,17.6, 
17,10.3,4.3,14.7,4.9,5.7,8.9,8.5,12.6,5.0,4.1,26.8, 
18,14.1,4.9,18.6,9.0,5.6,8.8,7.8,7.0,4.4,5.9,, 
19,15.7,5.4,11.4,9.2,3.0,7.0,6.9,6.8,4.0,5.6,, 
20,11.2,6.3,4.6,5.5,4.1,5.8,8.6,4.3,3.5,4.2,, 
21,5.5,4.7,4.6,5.3,4.2,6.5,7.3,5.5,6.4,5.0,, 
22,8.1,6.3,7.3,4.9,4.0,5.2,8.2,5.5,6.2,11.8,, 
23,15.1,14.2,6.6,8.9,9.4,8.7,7.1,12.8,5.3,11.7,, 
24,29.3,13.5,11.0,10.0,8.1,8.8,7.6,9.1,5.1,7.8,, 
25,30.6,8.8,6.6,10.3,7.9,7.4,11.7,8.7,12.5,15.7,, 
26,38.6,7.4,4.3,11.1,4.8,4.4,9.2,5.2,11.8,14.5,, 
27,34.2,4.8,3.6,11.8,6.1,3.4,11.2,5.2,7.2,17.5,, 
28,41.0,6.0,5.3,13.9,5.3,4.7,13.9,5.0,5.6,10.7,, 
29,41.5,,6.4,11.0,11.0,6.1,13.9,8.0,4.3,15.9,, 
30,50.1,,4.6,10.0,5.9,6.3,8.4,7.4,4.4,23.2,, 
31,32.3,,6.4,,5.9,,11.0,5.7,,23.3,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 18, 2019 at 00:00:03
  
