dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,39.5,12.0,11.4,9.3,10.2,9.9,,10.5,10.3,5.2,27.2, 
2,28.7,4.0,7.8,,8.7,9.9,7.7,7.3,9.9,10.5,31.3, 
3,34.8,2.3,2.9,6.0,9.9,9.8,8.5,11.1,8.4,13.5,31.5, 
4,37.2,1.5,4.1,4.7,9.3,14.6,13.5,9.6,12.1,7.1,34.7, 
5,17.6,2.9,7.8,5.5,5.9,12.7,12.7,7.8,13.0,10.5,39.1, 
6,7.1,7.8,2.1,7.1,6.8,5.9,11.3,14.1,8.6,16.2,41.4, 
7,5.7,11.9,3.6,5.9,,5.7,10.8,10.8,11.2,17.8,48.3, 
8,10.6,15.9,3.2,9.6,,4.7,7.3,9.1,4.9,20.3,50.8, 
9,11.9,6.1,4.7,5.8,,9.1,8.6,6.9,6.1,17.4,41.8, 
10,11.3,4.0,5.7,5.3,,12.6,7.3,5.3,4.4,10.7,40.4, 
11,13.5,10.0,4.9,5.2,12.0,14.9,7.7,5.3,7.9,14.2,39.0, 
12,9.1,14.9,5.5,8.9,12.6,15.1,7.8,8.6,16.2,20.7,41.5, 
13,13.1,8.9,3.7,10.9,5.8,10.6,9.5,9.7,16.3,19.6,48.8, 
14,13.0,3.8,8.0,10.6,7.4,8.3,7.5,14.0,17.4,16.9,36.3, 
15,7.9,3.3,11.3,5.8,5.1,9.1,6.4,17.4,11.7,23.3,11.9, 
16,5.9,3.9,14.8,5.6,4.5,7.1,5.7,13.1,7.5,28.3,30.6, 
17,6.5,4.1,21.4,8.5,6.6,10.1,6.0,10.7,6.7,8.6,, 
18,9.8,6.2,16.7,21.1,6.7,12.5,10.6,7.5,7.2,10.2,, 
19,12.4,8.4,8.9,17.9,3.5,10.7,5.4,8.4,5.6,10.3,, 
20,17.2,7.7,6.7,7.6,7.0,9.0,8.6,9.4,7.3,10.0,, 
21,4.8,4.3,5.7,7.9,3.8,7.2,10.1,9.8,10.6,14.7,, 
22,12.9,9.8,9.8,10.3,4.6,7.5,11.6,11.4,11.6,22.7,, 
23,25.2,16.8,9.3,12.4,4.9,9.9,11.6,13.5,8.2,23.3,, 
24,29.6,20.9,10.6,14.1,6.4,8.5,9.5,12.1,14.0,19.2,, 
25,30.0,10.1,13.1,14.3,10.5,6.8,12.0,11.6,17.7,19.5,, 
26,42.0,7.0,10.0,9.0,4.4,5.9,10.8,11.1,18.0,23.4,, 
27,46.0,4.3,4.5,7.8,5.2,5.8,11.1,10.8,11.2,34.5,, 
28,40.0,5.0,3.3,8.6,11.6,6.7,11.3,8.8,4.8,21.2,, 
29,41.1,,4.4,8.4,17.9,6.8,13.5,10.0,5.1,19.9,, 
30,47.1,,5.7,6.1,14.2,5.6,9.2,12.0,6.9,22.5,, 
31,21.4,,7.5,,9.1,,11.3,10.3,,21.8,,
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 17, 2019 at 18:51:22
  
